x-axis,1,2
second,Volt,Volt
-1.000000E-06,+3.778500080109E+00,+2.519999980927E+00
-998.000E-09,+3.716000080109E+00,+2.769999980927E+00
-996.000E-09,+3.903500080109E+00,+2.769999980927E+00
-994.000E-09,+3.966000080109E+00,+2.769999980927E+00
-992.000E-09,+4.091000080109E+00,+2.832499980927E+00
-990.000E-09,+4.216000080109E+00,+2.894999980927E+00
-988.000E-09,+4.341000080109E+00,+2.832499980927E+00
-986.000E-09,+4.403500080109E+00,+2.832499980927E+00
-984.000E-09,+4.528500080109E+00,+2.832499980927E+00
-982.000E-09,+4.591000080109E+00,+2.894999980927E+00
-980.000E-09,+4.528500080109E+00,+2.894999980927E+00
-978.000E-09,+4.341000080109E+00,+2.894999980927E+00
-976.000E-09,+4.153500080109E+00,+3.082499980926E+00
-974.000E-09,+3.716000080109E+00,+3.269999980926E+00
-972.000E-09,+3.341000080109E+00,+3.394999980926E+00
-970.000E-09,+2.841000080109E+00,+3.394999980927E+00
-968.000E-09,+2.278500080109E+00,+3.582499980926E+00
-966.000E-09,+1.591000080109E+00,+3.582499980927E+00
-964.000E-09,+1.028500080109E+00,+3.644999980926E+00
-962.000E-09,+341.000080109E-03,+3.707499980926E+00
-960.000E-09,-96.499919891E-03,+3.769999980926E+00
-958.000E-09,-721.499919891E-03,+3.957499980926E+00
-956.000E-09,-1.221499919891E+00,+3.957499980927E+00
-954.000E-09,-1.596499919891E+00,+4.019999980926E+00
-952.000E-09,-1.846499919891E+00,+4.019999980927E+00
-950.000E-09,-1.971499919891E+00,+4.019999980927E+00
-948.000E-09,-2.158999919891E+00,+3.894999980927E+00
-946.000E-09,-2.096499919891E+00,+3.832499980927E+00
-944.000E-09,-1.971499919891E+00,+3.769999980927E+00
-942.000E-09,-1.908999919891E+00,+3.769999980927E+00
-940.000E-09,-1.658999919891E+00,+3.769999980927E+00
-938.000E-09,-1.533999919891E+00,+3.769999980927E+00
-936.000E-09,-1.346499919891E+00,+3.644999980927E+00
-934.000E-09,-1.158999919891E+00,+3.707499980926E+00
-932.000E-09,-971.499919891E-03,+3.707499980927E+00
-930.000E-09,-908.999919891E-03,+3.707499980927E+00
-928.000E-09,-783.999919891E-03,+3.769999980926E+00
-926.000E-09,-721.499919891E-03,+3.769999980927E+00
-924.000E-09,-533.999919891E-03,+3.832499980926E+00
-922.000E-09,-408.999919891E-03,+3.894999980927E+00
-920.000E-09,-283.999919891E-03,+4.082499980926E+00
-918.000E-09,-221.499919891E-03,+4.207499980926E+00
