Time,Input,2,Output
second,Volt,Volt,Volt
-4.89E-07,-4.13E-01,1.40E+00,2.97E+00
-4.87E-07,-4.13E-01,1.27E+00,2.97E+00
-4.86E-07,-4.76E-01,1.33E+00,2.97E+00
-4.85E-07,-4.76E-01,1.33E+00,3.13E+00
-4.84E-07,-4.76E-01,1.33E+00,2.97E+00
-4.82E-07,-6.01E-01,1.33E+00,2.97E+00
-4.81E-07,-6.01E-01,1.27E+00,3.13E+00
-4.80E-07,-6.63E-01,1.27E+00,2.97E+00
-4.79E-07,-6.63E-01,1.27E+00,3.13E+00
-4.77E-07,-6.01E-01,1.15E+00,3.28E+00
-4.76E-07,-6.01E-01,1.08E+00,3.13E+00
-4.75E-07,-6.63E-01,8.96E-01,3.13E+00
-4.74E-07,-6.63E-01,8.33E-01,3.28E+00
-4.72E-07,-6.01E-01,7.08E-01,3.28E+00
-4.71E-07,-6.01E-01,6.46E-01,3.13E+00
-4.70E-07,-5.38E-01,5.21E-01,3.28E+00
-4.69E-07,-4.13E-01,4.58E-01,3.28E+00
-4.67E-07,-3.51E-01,3.96E-01,3.44E+00
-4.66E-07,-2.88E-01,2.08E-01,3.28E+00
-4.65E-07,-1.63E-01,2.71E-01,3.28E+00
-4.64E-07,-3.80E-02,8.30E-02,3.28E+00
-4.63E-07,8.70E-02,1.46E-01,3.28E+00
-4.61E-07,2.74E-01,2.05E-02,3.44E+00
-4.60E-07,3.37E-01,2.05E-02,3.44E+00
-4.59E-07,4.62E-01,2.05E-02,3.44E+00
-4.58E-07,6.49E-01,-1.04E-01,3.28E+00
-4.56E-07,7.74E-01,-1.67E-01,3.28E+00
-4.55E-07,8.99E-01,-1.67E-01,3.28E+00
-4.54E-07,9.62E-01,-2.29E-01,3.44E+00
-4.53E-07,1.09E+00,-2.29E-01,3.44E+00
-4.51E-07,1.09E+00,-2.29E-01,3.44E+00
-4.50E-07,1.15E+00,-2.29E-01,3.44E+00
-4.49E-07,1.21E+00,-2.29E-01,3.44E+00
-4.48E-07,1.27E+00,-2.29E-01,3.28E+00
-4.46E-07,1.27E+00,-1.67E-01,3.44E+00
-4.45E-07,1.27E+00,-1.04E-01,3.44E+00
-4.44E-07,1.27E+00,-4.20E-02,3.44E+00
-4.43E-07,1.34E+00,-4.20E-02,3.59E+00
-4.41E-07,1.21E+00,8.30E-02,3.59E+00
-4.40E-07,1.27E+00,1.46E-01,3.75E+00
-4.39E-07,1.15E+00,2.71E-01,3.91E+00
-4.38E-07,1.09E+00,3.96E-01,3.75E+00
-4.36E-07,9.62E-01,3.33E-01,4.06E+00
-4.35E-07,8.99E-01,4.58E-01,3.91E+00
-4.34E-07,8.37E-01,4.58E-01,4.06E+00
-4.33E-07,7.12E-01,5.21E-01,4.22E+00
-4.32E-07,7.12E-01,4.58E-01,4.22E+00
-4.30E-07,6.49E-01,4.58E-01,4.22E+00
-4.29E-07,7.12E-01,4.58E-01,4.38E+00
-4.28E-07,7.12E-01,5.21E-01,4.38E+00
-4.27E-07,7.74E-01,5.83E-01,4.22E+00
-4.25E-07,7.74E-01,5.21E-01,4.37E+00
-4.24E-07,8.37E-01,4.58E-01,4.06E+00
-4.23E-07,8.99E-01,4.58E-01,4.38E+00
-4.22E-07,1.09E+00,4.58E-01,4.22E+00
-4.20E-07,1.21E+00,4.58E-01,4.37E+00
-4.19E-07,1.34E+00,3.96E-01,4.06E+00
-4.18E-07,1.52E+00,3.96E-01,3.91E+00
-4.17E-07,1.65E+00,3.33E-01,3.91E+00
-4.15E-07,1.96E+00,3.33E-01,3.75E+00
-4.14E-07,2.09E+00,3.33E-01,3.75E+00
-4.13E-07,2.40E+00,2.08E-01,3.44E+00
-4.12E-07,2.52E+00,2.08E-01,3.44E+00
-4.10E-07,2.77E+00,2.08E-01,3.44E+00
-4.09E-07,2.90E+00,8.30E-02,3.28E+00
-4.08E-07,3.15E+00,8.30E-02,3.13E+00
-4.07E-07,3.34E+00,8.30E-02,3.13E+00
-4.05E-07,3.52E+00,-4.20E-02,3.13E+00
-4.04E-07,3.71E+00,-4.20E-02,3.13E+00
-4.03E-07,3.84E+00,-4.20E-02,2.97E+00
-4.02E-07,3.90E+00,-4.20E-02,2.81E+00
-4.01E-07,4.02E+00,-1.04E-01,2.66E+00
-3.99E-07,4.15E+00,-1.04E-01,2.81E+00
-3.98E-07,4.15E+00,-1.04E-01,2.66E+00
-3.97E-07,4.21E+00,-4.20E-02,2.66E+00
-3.96E-07,4.21E+00,-4.20E-02,2.66E+00
-3.94E-07,4.09E+00,8.30E-02,2.50E+00
-3.93E-07,4.09E+00,2.05E-02,2.50E+00
-3.92E-07,4.09E+00,8.30E-02,2.50E+00
-3.91E-07,3.96E+00,8.30E-02,2.34E+00
-3.89E-07,3.77E+00,1.46E-01,2.34E+00
-3.88E-07,3.71E+00,8.30E-02,2.19E+00
-3.87E-07,3.59E+00,2.08E-01,2.03E+00
-3.86E-07,3.46E+00,1.46E-01,1.87E+00
-3.84E-07,3.40E+00,8.30E-02,1.41E+00
-3.83E-07,3.21E+00,1.46E-01,1.41E+00
-3.82E-07,3.15E+00,2.71E-01,1.09E+00
-3.81E-07,3.02E+00,2.71E-01,7.81E-01
-3.79E-07,2.90E+00,3.33E-01,4.69E-01
-3.78E-07,2.71E+00,4.58E-01,3.13E-01
-3.77E-07,2.71E+00,3.96E-01,0.00E+00
-3.76E-07,2.84E+00,3.96E-01,-3.13E-01
-3.74E-07,2.77E+00,3.96E-01,-6.25E-01
-3.73E-07,2.77E+00,4.58E-01,-7.81E-01
-3.72E-07,2.84E+00,3.96E-01,-1.09E+00
