x-axis,1,2,3
second,Volt,Volt,Volt
-990.760E-09,+3.962500095367E+00,+2.770500183105E+00,+312.500000000E-03
-989.520E-09,+3.900000095367E+00,+2.833000183105E+00,+156.250000000E-03
-988.280E-09,+3.962500095367E+00,+2.833000183105E+00,+156.250000000E-03
-987.040E-09,+3.900000095367E+00,+2.833000183105E+00,+0.0E+00
-985.800E-09,+3.962500095367E+00,+2.770500183105E+00,+0.0E+00
-984.560E-09,+4.025000095367E+00,+2.770500183105E+00,-156.250000000E-03
-983.320E-09,+3.962500095367E+00,+2.770500183105E+00,-156.250000000E-03
-982.080E-09,+4.087500095367E+00,+2.833000183105E+00,-312.500000000E-03
-980.840E-09,+4.087500095367E+00,+2.895500183105E+00,-156.250000000E-03
-979.600E-09,+3.962500095368E+00,+2.895500183105E+00,-312.500000000E-03
-978.360E-09,+3.900000095367E+00,+2.958000183105E+00,-468.750000000E-03
-977.120E-09,+3.900000095367E+00,+3.020500183105E+00,-625.000000000E-03
-975.880E-09,+3.775000095368E+00,+3.145500183105E+00,-625.000000000E-03
-974.640E-09,+3.712500095367E+00,+3.270500183105E+00,-625.000000000E-03
-973.400E-09,+3.525000095368E+00,+3.333000183105E+00,-625.000000000E-03
-972.160E-09,+3.400000095368E+00,+3.395500183105E+00,-937.500000000E-03
-970.920E-09,+3.150000095368E+00,+3.458000183105E+00,-781.250000000E-03
-969.680E-09,+2.900000095368E+00,+3.520500183105E+00,-781.250000000E-03
-968.440E-09,+2.650000095368E+00,+3.583000183105E+00,-781.250000000E-03
-967.200E-09,+2.462500095368E+00,+3.645500183105E+00,-781.250000000E-03
-965.960E-09,+2.212500095368E+00,+3.708000183105E+00,-625.000000000E-03
-964.720E-09,+1.962500095368E+00,+3.770500183105E+00,-781.250000000E-03
-963.480E-09,+1.712500095368E+00,+3.833000183105E+00,-781.250000000E-03
-962.240E-09,+1.462500095368E+00,+3.833000183105E+00,-625.000000000E-03
-961.000E-09,+1.275000095368E+00,+3.895500183105E+00,-625.000000000E-03
-959.760E-09,+1.025000095368E+00,+4.020500183105E+00,-625.000000000E-03
-958.520E-09,+837.500095368E-03,+4.083000183105E+00,-625.000000000E-03
-957.280E-09,+462.500095368E-03,+4.083000183105E+00,-468.750000000E-03
-956.040E-09,+275.000095368E-03,+4.145500183105E+00,-468.750000000E-03
-954.800E-09,+25.000095368E-03,+4.145500183105E+00,-625.000000000E-03
-953.560E-09,-224.999904632E-03,+4.208000183105E+00,-468.750000000E-03
-952.320E-09,-412.499904632E-03,+4.145500183106E+00,-468.750000000E-03
-951.080E-09,-537.499904632E-03,+4.020500183106E+00,-312.500000000E-03
-949.840E-09,-662.499904632E-03,+4.020500183105E+00,-156.250000000E-03
-948.600E-09,-849.999904632E-03,+3.958000183106E+00,-312.500000000E-03
-947.360E-09,-1.037499904632E+00,+3.833000183106E+00,-312.500000000E-03
-946.120E-09,-1.037499904633E+00,+3.833000183105E+00,-156.250000000E-03
-944.880E-09,-1.099999904632E+00,+3.770500183106E+00,-156.250000000E-03
-943.640E-09,-1.099999904633E+00,+3.708000183106E+00,-156.250000000E-03
-942.400E-09,-1.162499904632E+00,+3.645500183106E+00,-156.250000000E-03
-941.160E-09,-1.099999904633E+00,+3.645500183105E+00,-156.250000000E-03
-939.920E-09,-1.099999904633E+00,+3.645500183105E+00,-0.0E+00
-938.680E-09,-1.099999904633E+00,+3.645500183105E+00,-156.250000000E-03
-937.440E-09,-1.037499904633E+00,+3.583000183106E+00,-0.0E+00
-936.200E-09,-974.999904633E-03,+3.645500183105E+00,+156.250000000E-03
-934.960E-09,-912.499904633E-03,+3.645500183105E+00,+312.500000000E-03
-933.720E-09,-912.499904633E-03,+3.645500183105E+00,+156.250000000E-03
-932.480E-09,-912.499904633E-03,+3.645500183105E+00,+156.250000000E-03
-931.240E-09,-912.499904633E-03,+3.645500183105E+00,+312.500000000E-03
-930.000E-09,-849.999904633E-03,+3.583000183106E+00,+468.750000000E-03
-928.760E-09,-787.499904633E-03,+3.583000183105E+00,+468.750000000E-03
-927.520E-09,-662.499904633E-03,+3.583000183105E+00,+625.000000000E-03
-926.280E-09,-662.499904633E-03,+3.645500183105E+00,+937.500000000E-03
-925.040E-09,-599.999904633E-03,+3.708000183105E+00,+1.093750000000E+00
-923.800E-09,-537.499904633E-03,+3.708000183105E+00,+1.406250000000E+00
-922.560E-09,-537.499904633E-03,+3.770500183105E+00,+1.406250000000E+00
-921.320E-09,-474.999904633E-03,+3.770500183105E+00,+2.031249999999E+00
-920.080E-09,-537.499904633E-03,+3.895500183105E+00,+2.187500000000E+00
-918.840E-09,-412.499904633E-03,+3.958000183105E+00,+2.500000000000E+00
-917.600E-09,-537.499904632E-03,+4.083000183105E+00,+2.656250000000E+00
-916.360E-09,-537.499904633E-03,+4.145500183105E+00,+2.968750000000E+00
-915.120E-09,-537.499904633E-03,+4.145500183105E+00,+3.281250000000E+00
-913.880E-09,-537.499904633E-03,+4.270500183105E+00,+3.593750000000E+00
-912.640E-09,-599.999904633E-03,+4.208000183106E+00,+3.906250000000E+00
-911.400E-09,-474.999904633E-03,+4.270500183105E+00,+4.218750000000E+00
-910.160E-09,-537.499904633E-03,+4.208000183106E+00,+4.375000000000E+00
-908.920E-09,-537.499904633E-03,+4.270500183105E+00,+4.687500000000E+00
-907.680E-09,-599.999904633E-03,+4.208000183106E+00,+5.000000000000E+00
-906.440E-09,-599.999904633E-03,+4.208000183105E+00,+5.000000000000E+00
-905.200E-09,-599.999904633E-03,+4.208000183105E+00,+5.000000000000E+00
-903.960E-09,-599.999904633E-03,+4.208000183105E+00,+5.156250000000E+00
-902.720E-09,-599.999904633E-03,+4.270500183105E+00,+5.312500000000E+00
-901.480E-09,-599.999904633E-03,+4.333000183105E+00,+5.156250000000E+00
